task,subject,z,config,predictor,spearman,auroc,dpsnr10,dpsnr20,dpsnr30,elapsed_s,fwd_count,psnr
T1->T2,IXI017-Guys-0698,27,full_n4,rcrf+unc(w.6/.4),-0.9189,0.9397,3.01,6.149,15.611,5.86,40,18.56
T1->T2,IXI017-Guys-0698,27,fusion_w1.0,w1=1.0,-0.9007,0.9316,2.902,5.987,11.748,5.86,40,
T1->T2,IXI017-Guys-0698,27,fusion_w0.7,w1=0.7,-0.9149,0.9389,2.991,6.132,14.818,5.86,40,
T1->T2,IXI017-Guys-0698,27,fusion_w0.5,w1=0.5,-0.9226,0.9397,3.044,6.285,15.816,5.86,40,
T1->T2,IXI017-Guys-0698,27,fusion_w0.3,w1=0.3,-0.9298,0.9372,3.068,6.426,16.666,5.86,40,
T1->T2,IXI017-Guys-0698,27,fusion_w0.0,w1=0.0,-0.935,0.9219,2.333,5.903,14.586,5.86,40,
T1->T2,IXI017-Guys-0698,27,rcrf_n1,rcrf(单次推理),-0.8943,0.9294,2.978,6.179,10.83,3.367,20,18.43
T1->T2,IXI017-Guys-0698,27,rcrf_n4,rcrf(4次平均),-0.9007,0.9316,2.902,5.987,11.748,5.86,40,
T1->T2,IXI017-Guys-0698,27,unc_n4,unc(集成标准差),-0.935,0.9219,2.333,5.903,14.586,5.86,40,
T1->T2,IXI017-Guys-0698,27,random,uniform-random,0.0021,0.4813,-0.005,-0.044,-0.096,0.0,0,
T1->T2,IXI017-Guys-0698,27,full_skip2,rcrf+unc(w.6/.4),-0.9125,0.941,3.257,7.107,15.523,2.312,24,18.42
T1->T2,IXI017-Guys-0698,39,full_n4,rcrf+unc(w.6/.4),-0.9135,0.9212,2.071,4.641,10.864,2.982,40,19.27
T1->T2,IXI017-Guys-0698,39,fusion_w1.0,w1=1.0,-0.9003,0.9089,1.677,3.959,9.645,2.982,40,
T1->T2,IXI017-Guys-0698,39,fusion_w0.7,w1=0.7,-0.9106,0.9192,1.989,4.501,10.796,2.982,40,
T1->T2,IXI017-Guys-0698,39,fusion_w0.5,w1=0.5,-0.9161,0.9225,2.159,4.722,10.687,2.982,40,
T1->T2,IXI017-Guys-0698,39,fusion_w0.3,w1=0.3,-0.9205,0.9225,2.297,4.945,10.096,2.982,40,
T1->T2,IXI017-Guys-0698,39,fusion_w0.0,w1=0.0,-0.9193,0.9113,2.242,4.821,8.943,2.982,40,
T1->T2,IXI017-Guys-0698,39,rcrf_n1,rcrf(单次推理),-0.8917,0.9027,1.676,4.164,8.451,0.734,20,19.03
T1->T2,IXI017-Guys-0698,39,rcrf_n4,rcrf(4次平均),-0.9003,0.9089,1.677,3.959,9.645,2.982,40,
T1->T2,IXI017-Guys-0698,39,unc_n4,unc(集成标准差),-0.9193,0.9113,2.242,4.821,8.943,2.982,40,
T1->T2,IXI017-Guys-0698,39,random,uniform-random,-0.01,0.4928,0.03,0.004,-0.013,0.0,0,
T1->T2,IXI017-Guys-0698,39,full_skip2,rcrf+unc(w.6/.4),-0.9111,0.9225,2.345,4.553,10.566,0.924,24,19.12
T1->T2,IXI017-Guys-0698,51,full_n4,rcrf+unc(w.6/.4),-0.9095,0.9053,2.18,5.306,9.113,1.52,40,19.86
T1->T2,IXI017-Guys-0698,51,fusion_w1.0,w1=1.0,-0.8973,0.8884,1.827,4.459,7.975,1.52,40,
T1->T2,IXI017-Guys-0698,51,fusion_w0.7,w1=0.7,-0.9067,0.9017,2.099,5.081,8.943,1.52,40,
T1->T2,IXI017-Guys-0698,51,fusion_w0.5,w1=0.5,-0.9122,0.9084,2.259,5.329,9.431,1.52,40,
T1->T2,IXI017-Guys-0698,51,fusion_w0.3,w1=0.3,-0.9175,0.9135,2.331,5.322,10.049,1.52,40,
T1->T2,IXI017-Guys-0698,51,fusion_w0.0,w1=0.0,-0.9211,0.9152,2.466,4.918,9.312,1.52,40,
T1->T2,IXI017-Guys-0698,51,rcrf_n1,rcrf(单次推理),-0.8882,0.8837,1.958,4.419,7.534,0.755,20,19.75
T1->T2,IXI017-Guys-0698,51,rcrf_n4,rcrf(4次平均),-0.8973,0.8884,1.827,4.459,7.975,1.52,40,
T1->T2,IXI017-Guys-0698,51,unc_n4,unc(集成标准差),-0.9211,0.9152,2.466,4.918,9.312,1.52,40,
T1->T2,IXI017-Guys-0698,51,random,uniform-random,-0.0001,0.4988,0.001,-0.037,-0.02,0.0,0,
T1->T2,IXI017-Guys-0698,51,full_skip2,rcrf+unc(w.6/.4),-0.9069,0.9062,2.201,5.559,9.641,0.934,24,19.82
T1->T2,IXI017-Guys-0698,63,full_n4,rcrf+unc(w.6/.4),-0.901,0.9048,2.143,4.309,7.494,2.105,40,19.95
T1->T2,IXI017-Guys-0698,63,fusion_w1.0,w1=1.0,-0.8867,0.8863,1.573,3.83,6.436,2.105,40,
