task,subject,z,config,predictor,spearman,auroc,dpsnr10,dpsnr20,dpsnr30,elapsed_s,fwd_count,psnr
T1->T2,IXI017-Guys-0698,63,fusion_w0.7,w1=0.7,-0.8978,0.9012,2.019,4.227,7.227,2.105,40,
T1->T2,IXI017-Guys-0698,63,fusion_w0.5,w1=0.5,-0.904,0.9078,2.22,4.381,8.037,2.105,40,
T1->T2,IXI017-Guys-0698,63,fusion_w0.3,w1=0.3,-0.9094,0.9119,2.326,4.69,8.609,2.105,40,
T1->T2,IXI017-Guys-0698,63,fusion_w0.0,w1=0.0,-0.9157,0.91,2.413,4.808,8.218,2.105,40,
T1->T2,IXI017-Guys-0698,63,rcrf_n1,rcrf(单次推理),-0.8739,0.8751,1.515,3.683,6.046,1.451,20,19.77
T1->T2,IXI017-Guys-0698,63,rcrf_n4,rcrf(4次平均),-0.8867,0.8863,1.573,3.83,6.436,2.105,40,
T1->T2,IXI017-Guys-0698,63,unc_n4,unc(集成标准差),-0.9157,0.91,2.413,4.808,8.218,2.105,40,
T1->T2,IXI017-Guys-0698,63,random,uniform-random,-0.0011,0.4995,-0.023,0.003,-0.057,0.0,0,
T1->T2,IXI017-Guys-0698,63,full_skip2,rcrf+unc(w.6/.4),-0.8938,0.9025,2.044,4.554,8.014,1.966,24,19.93
T1->T2,IXI017-Guys-0698,75,full_n4,rcrf+unc(w.6/.4),-0.8905,0.8683,1.707,3.322,5.158,3.387,40,18.88
T1->T2,IXI017-Guys-0698,75,fusion_w1.0,w1=1.0,-0.8758,0.8467,1.468,2.817,4.382,3.387,40,
T1->T2,IXI017-Guys-0698,75,fusion_w0.7,w1=0.7,-0.887,0.8636,1.676,3.241,4.896,3.387,40,
T1->T2,IXI017-Guys-0698,75,fusion_w0.5,w1=0.5,-0.8939,0.8725,1.754,3.416,5.31,3.387,40,
T1->T2,IXI017-Guys-0698,75,fusion_w0.3,w1=0.3,-0.9002,0.8788,1.762,3.642,5.543,3.387,40,
T1->T2,IXI017-Guys-0698,75,fusion_w0.0,w1=0.0,-0.9083,0.8814,1.722,3.438,5.654,3.387,40,
T1->T2,IXI017-Guys-0698,75,rcrf_n1,rcrf(单次推理),-0.8672,0.8451,1.582,2.832,4.236,1.47,20,18.22
T1->T2,IXI017-Guys-0698,75,rcrf_n4,rcrf(4次平均),-0.8758,0.8467,1.468,2.817,4.382,3.387,40,
T1->T2,IXI017-Guys-0698,75,unc_n4,unc(集成标准差),-0.9083,0.8814,1.722,3.438,5.654,3.387,40,
T1->T2,IXI017-Guys-0698,75,random,uniform-random,0.0003,0.4967,-0.011,-0.06,-0.028,0.0,0,
T1->T2,IXI017-Guys-0698,75,full_skip2,rcrf+unc(w.6/.4),-0.8818,0.862,1.872,3.287,4.733,2.349,24,18.83
T1->T2,IXI017-Guys-0698,87,full_n4,rcrf+unc(w.6/.4),-0.9033,0.9057,2.319,5.53,8.581,3.393,40,19.93
T1->T2,IXI017-Guys-0698,87,fusion_w1.0,w1=1.0,-0.888,0.8848,1.831,4.125,7.505,3.393,40,
T1->T2,IXI017-Guys-0698,87,fusion_w0.7,w1=0.7,-0.8999,0.9016,2.211,5.233,8.365,3.393,40,
T1->T2,IXI017-Guys-0698,87,fusion_w0.5,w1=0.5,-0.9066,0.9093,2.448,5.701,8.821,3.393,40,
T1->T2,IXI017-Guys-0698,87,fusion_w0.3,w1=0.3,-0.9129,0.9148,2.659,5.663,8.947,3.393,40,
T1->T2,IXI017-Guys-0698,87,fusion_w0.0,w1=0.0,-0.9203,0.9171,2.853,5.625,8.874,3.393,40,
T1->T2,IXI017-Guys-0698,87,rcrf_n1,rcrf(单次推理),-0.8796,0.8772,2.021,4.244,6.492,1.905,20,19.64
T1->T2,IXI017-Guys-0698,87,rcrf_n4,rcrf(4次平均),-0.888,0.8848,1.831,4.125,7.505,3.393,40,
T1->T2,IXI017-Guys-0698,87,unc_n4,unc(集成标准差),-0.9203,0.9171,2.853,5.625,8.874,3.393,40,
T1->T2,IXI017-Guys-0698,87,random,uniform-random,0.0046,0.4957,0.007,0.063,0.069,0.0,0,
T1->T2,IXI017-Guys-0698,87,full_skip2,rcrf+unc(w.6/.4),-0.8979,0.8987,2.284,5.16,7.861,2.321,24,19.89
T1->T2,IXI017-Guys-0698,99,full_n4,rcrf+unc(w.6/.4),-0.9057,0.9078,2.297,5.873,10.216,3.771,40,20.62
T1->T2,IXI017-Guys-0698,99,fusion_w1.0,w1=1.0,-0.8912,0.8914,2.095,5.12,9.185,3.771,40,
T1->T2,IXI017-Guys-0698,99,fusion_w0.7,w1=0.7,-0.9024,0.9046,2.282,5.678,10.088,3.771,40,
T1->T2,IXI017-Guys-0698,99,fusion_w0.5,w1=0.5,-0.909,0.9106,2.37,6.096,10.45,3.771,40,
T1->T2,IXI017-Guys-0698,99,fusion_w0.3,w1=0.3,-0.9153,0.9148,2.431,5.897,10.678,3.771,40,
T1->T2,IXI017-Guys-0698,99,fusion_w0.0,w1=0.0,-0.9238,0.915,2.49,5.175,10.008,3.771,40,
T1->T2,IXI017-Guys-0698,99,rcrf_n1,rcrf(单次推理),-0.8842,0.8842,2.164,5.001,8.239,1.95,20,20.27
T1->T2,IXI017-Guys-0698,99,rcrf_n4,rcrf(4次平均),-0.8912,0.8914,2.095,5.12,9.185,3.771,40,
T1->T2,IXI017-Guys-0698,99,unc_n4,unc(集成标准差),-0.9238,0.915,2.49,5.175,10.008,3.771,40,
T1->T2,IXI017-Guys-0698,99,random,uniform-random,-0.0059,0.5097,-0.028,-0.08,-0.048,0.0,0,
T1->T2,IXI017-Guys-0698,99,full_skip2,rcrf+unc(w.6/.4),-0.9023,0.9042,2.483,5.985,9.522,2.255,24,20.61
T1->T2,IXI017-Guys-0698,111,full_n4,rcrf+unc(w.6/.4),-0.9035,0.9109,2.626,6.874,11.489,4.018,40,20.15
T1->T2,IXI017-Guys-0698,111,fusion_w1.0,w1=1.0,-0.8854,0.8986,2.003,6.051,10.871,4.018,40,
T1->T2,IXI017-Guys-0698,111,fusion_w0.7,w1=0.7,-0.8993,0.9086,2.414,6.846,11.528,4.018,40,
T1->T2,IXI017-Guys-0698,111,fusion_w0.5,w1=0.5,-0.9076,0.9128,2.694,6.99,11.649,4.018,40,
T1->T2,IXI017-Guys-0698,111,fusion_w0.3,w1=0.3,-0.9153,0.9149,2.792,6.119,12.157,4.018,40,
T1->T2,IXI017-Guys-0698,111,fusion_w0.0,w1=0.0,-0.9233,0.9113,2.539,5.443,9.851,4.018,40,
T1->T2,IXI017-Guys-0698,111,rcrf_n1,rcrf(单次推理),-0.8797,0.8964,2.16,5.532,10.339,1.854,20,19.98
T1->T2,IXI017-Guys-0698,111,rcrf_n4,rcrf(4次平均),-0.8854,0.8986,2.003,6.051,10.871,4.018,40,
T1->T2,IXI017-Guys-0698,111,unc_n4,unc(集成标准差),-0.9233,0.9113,2.539,5.443,9.851,4.018,40,
T1->T2,IXI017-Guys-0698,111,random,uniform-random,0.0123,0.4931,0.012,0.048,-0.019,0.0,0,
T1->T2,IXI017-Guys-0698,111,full_skip2,rcrf+unc(w.6/.4),-0.902,0.9055,2.305,6.9,11.406,2.628,24,20.06
T1->T2,IXI019-Guys-0702,25,full_n4,rcrf+unc(w.6/.4),-0.9174,0.9451,3.863,7.17,13.756,4.115,40,22.09
T1->T2,IXI019-Guys-0702,25,fusion_w1.0,w1=1.0,-0.8975,0.9339,3.427,6.576,12.177,4.115,40,
T1->T2,IXI019-Guys-0702,25,fusion_w0.7,w1=0.7,-0.9129,0.9434,3.788,7.016,13.589,4.115,40,
T1->T2,IXI019-Guys-0702,25,fusion_w0.5,w1=0.5,-0.9217,0.9459,3.871,7.3,14.923,4.115,40,
T1->T2,IXI019-Guys-0702,25,fusion_w0.3,w1=0.3,-0.9299,0.9443,3.816,7.222,16.275,4.115,40,
T1->T2,IXI019-Guys-0702,25,fusion_w0.0,w1=0.0,-0.9311,0.9196,2.708,5.409,13.417,4.115,40,
T1->T2,IXI019-Guys-0702,25,rcrf_n1,rcrf(单次推理),-0.8919,0.9275,3.556,6.46,11.404,1.975,20,21.75
T1->T2,IXI019-Guys-0702,25,rcrf_n4,rcrf(4次平均),-0.8975,0.9339,3.427,6.576,12.177,4.115,40,
T1->T2,IXI019-Guys-0702,25,unc_n4,unc(集成标准差),-0.9311,0.9196,2.708,5.409,13.417,4.115,40,
T1->T2,IXI019-Guys-0702,25,random,uniform-random,0.0031,0.5005,-0.005,-0.041,-0.062,0.0,0,
T1->T2,IXI019-Guys-0702,25,full_skip2,rcrf+unc(w.6/.4),-0.9104,0.944,4.028,7.271,12.718,2.47,24,21.69
T1->T2,IXI019-Guys-0702,37,full_n4,rcrf+unc(w.6/.4),-0.8883,0.9094,2.739,5.367,7.899,4.062,40,22.81
T1->T2,IXI019-Guys-0702,37,fusion_w1.0,w1=1.0,-0.8742,0.8945,2.603,4.777,7.054,4.062,40,
T1->T2,IXI019-Guys-0702,37,fusion_w0.7,w1=0.7,-0.885,0.9067,2.746,5.304,7.73,4.062,40,
T1->T2,IXI019-Guys-0702,37,fusion_w0.5,w1=0.5,-0.8916,0.9113,2.761,5.524,8.126,4.062,40,
T1->T2,IXI019-Guys-0702,37,fusion_w0.3,w1=0.3,-0.8983,0.912,2.525,5.607,8.467,4.062,40,
T1->T2,IXI019-Guys-0702,37,fusion_w0.0,w1=0.0,-0.9077,0.8973,2.235,4.413,6.867,4.062,40,
T1->T2,IXI019-Guys-0702,37,rcrf_n1,rcrf(单次推理),-0.864,0.8881,2.735,4.879,6.943,1.637,20,22.27
T1->T2,IXI019-Guys-0702,37,rcrf_n4,rcrf(4次平均),-0.8742,0.8945,2.603,4.777,7.054,4.062,40,
T1->T2,IXI019-Guys-0702,37,unc_n4,unc(集成标准差),-0.9077,0.8973,2.235,4.413,6.867,4.062,40,
T1->T2,IXI019-Guys-0702,37,random,uniform-random,0.008,0.5062,0.084,0.111,0.086,0.0,0,
T1->T2,IXI019-Guys-0702,37,full_skip2,rcrf+unc(w.6/.4),-0.8877,0.9138,2.889,5.55,8.327,2.319,24,22.63
T1->T2,IXI019-Guys-0702,49,full_n4,rcrf+unc(w.6/.4),-0.8811,0.8866,3.983,5.901,7.304,3.212,40,20.2
T1->T2,IXI019-Guys-0702,49,fusion_w1.0,w1=1.0,-0.8641,0.8695,3.575,5.295,6.502,3.212,40,
T1->T2,IXI019-Guys-0702,49,fusion_w0.7,w1=0.7,-0.8774,0.8838,3.893,5.781,7.194,3.212,40,
T1->T2,IXI019-Guys-0702,49,fusion_w0.5,w1=0.5,-0.8844,0.8884,4.051,6.043,7.391,3.212,40,
T1->T2,IXI019-Guys-0702,49,fusion_w0.3,w1=0.3,-0.8906,0.8893,3.445,6.105,7.418,3.212,40,
T1->T2,IXI019-Guys-0702,49,fusion_w0.0,w1=0.0,-0.8982,0.8774,2.254,3.732,5.122,3.212,40,
T1->T2,IXI019-Guys-0702,49,rcrf_n1,rcrf(单次推理),-0.8549,0.8594,3.524,4.845,5.891,1.492,20,20.06
T1->T2,IXI019-Guys-0702,49,rcrf_n4,rcrf(4次平均),-0.8641,0.8695,3.575,5.295,6.502,3.212,40,
T1->T2,IXI019-Guys-0702,49,unc_n4,unc(集成标准差),-0.8982,0.8774,2.254,3.732,5.122,3.212,40,
T1->T2,IXI019-Guys-0702,49,random,uniform-random,-0.0064,0.5064,0.008,0.011,0.204,0.0,0,
T1->T2,IXI019-Guys-0702,49,full_skip2,rcrf+unc(w.6/.4),-0.8818,0.8934,4.379,6.557,7.674,1.958,24,20.07
T1->T2,IXI019-Guys-0702,61,full_n4,rcrf+unc(w.6/.4),-0.876,0.8827,3.122,5.279,6.73,3.183,40,20.82
T1->T2,IXI019-Guys-0702,61,fusion_w1.0,w1=1.0,-0.8579,0.8638,2.714,4.513,5.761,3.183,40,
T1->T2,IXI019-Guys-0702,61,fusion_w0.7,w1=0.7,-0.8719,0.8792,3.059,5.128,6.473,3.183,40,
T1->T2,IXI019-Guys-0702,61,fusion_w0.5,w1=0.5,-0.8798,0.8853,3.171,5.387,6.913,3.183,40,
T1->T2,IXI019-Guys-0702,61,fusion_w0.3,w1=0.3,-0.8869,0.888,3.037,5.521,7.192,3.183,40,
T1->T2,IXI019-Guys-0702,61,fusion_w0.0,w1=0.0,-0.8947,0.8812,2.677,4.874,6.905,3.183,40,
T1->T2,IXI019-Guys-0702,61,rcrf_n1,rcrf(单次推理),-0.8512,0.8601,2.921,4.6,5.731,1.86,20,20.39
T1->T2,IXI019-Guys-0702,61,rcrf_n4,rcrf(4次平均),-0.8579,0.8638,2.714,4.513,5.761,3.183,40,
T1->T2,IXI019-Guys-0702,61,unc_n4,unc(集成标准差),-0.8947,0.8812,2.677,4.874,6.905,3.183,40,
T1->T2,IXI019-Guys-0702,61,random,uniform-random,0.0038,0.4994,0.05,-0.033,-0.077,0.0,0,
T1->T2,IXI019-Guys-0702,61,full_skip2,rcrf+unc(w.6/.4),-0.8716,0.881,3.366,5.248,6.617,1.932,24,20.66
T1->T2,IXI019-Guys-0702,73,full_n4,rcrf+unc(w.6/.4),-0.8722,0.8636,2.189,3.913,5.982,3.604,40,18.31
T1->T2,IXI019-Guys-0702,73,fusion_w1.0,w1=1.0,-0.8638,0.8568,1.982,3.661,5.54,3.604,40,
T1->T2,IXI019-Guys-0702,73,fusion_w0.7,w1=0.7,-0.8704,0.8629,2.204,3.837,5.953,3.604,40,
T1->T2,IXI019-Guys-0702,73,fusion_w0.5,w1=0.5,-0.8739,0.8635,2.163,3.938,6.031,3.604,40,
T1->T2,IXI019-Guys-0702,73,fusion_w0.3,w1=0.3,-0.8769,0.8611,1.913,3.939,6.051,3.604,40,
T1->T2,IXI019-Guys-0702,73,fusion_w0.0,w1=0.0,-0.8792,0.8461,1.583,3.412,5.155,3.604,40,
T1->T2,IXI019-Guys-0702,73,rcrf_n1,rcrf(单次推理),-0.8582,0.852,2.111,3.923,5.665,1.827,20,17.72
T1->T2,IXI019-Guys-0702,73,rcrf_n4,rcrf(4次平均),-0.8638,0.8568,1.982,3.661,5.54,3.604,40,
T1->T2,IXI019-Guys-0702,73,unc_n4,unc(集成标准差),-0.8792,0.8461,1.583,3.412,5.155,3.604,40,
T1->T2,IXI019-Guys-0702,73,random,uniform-random,-0.0043,0.497,0.029,0.021,-0.06,0.0,0,
T1->T2,IXI019-Guys-0702,73,full_skip2,rcrf+unc(w.6/.4),-0.8712,0.867,2.197,3.992,5.939,1.776,24,18.19
T1->T2,IXI019-Guys-0702,85,full_n4,rcrf+unc(w.6/.4),-0.8685,0.866,2.119,3.909,5.489,3.612,40,21.19
T1->T2,IXI019-Guys-0702,85,fusion_w1.0,w1=1.0,-0.8535,0.8529,1.84,3.526,4.814,3.612,40,
T1->T2,IXI019-Guys-0702,85,fusion_w0.7,w1=0.7,-0.8651,0.8636,2.031,3.866,5.378,3.612,40,
T1->T2,IXI019-Guys-0702,85,fusion_w0.5,w1=0.5,-0.8718,0.8679,2.176,3.886,5.618,3.612,40,
T1->T2,IXI019-Guys-0702,85,fusion_w0.3,w1=0.3,-0.878,0.8698,2.18,3.924,5.843,3.612,40,
T1->T2,IXI019-Guys-0702,85,fusion_w0.0,w1=0.0,-0.8852,0.8638,1.895,3.652,5.47,3.612,40,
T1->T2,IXI019-Guys-0702,85,rcrf_n1,rcrf(单次推理),-0.849,0.8514,1.808,3.303,4.601,1.634,20,20.86
T1->T2,IXI019-Guys-0702,85,rcrf_n4,rcrf(4次平均),-0.8535,0.8529,1.84,3.526,4.814,3.612,40,
T1->T2,IXI019-Guys-0702,85,unc_n4,unc(集成标准差),-0.8852,0.8638,1.895,3.652,5.47,3.612,40,
T1->T2,IXI019-Guys-0702,85,random,uniform-random,0.0128,0.4907,-0.004,-0.011,-0.07,0.0,0,
T1->T2,IXI019-Guys-0702,85,full_skip2,rcrf+unc(w.6/.4),-0.8682,0.8702,2.243,4.149,5.742,2.213,24,20.96
T1->T2,IXI019-Guys-0702,97,full_n4,rcrf+unc(w.6/.4),-0.8932,0.8936,2.323,4.657,6.816,3.142,40,22.97
T1->T2,IXI019-Guys-0702,97,fusion_w1.0,w1=1.0,-0.8795,0.8808,2.032,3.94,6.157,3.142,40,
T1->T2,IXI019-Guys-0702,97,fusion_w0.7,w1=0.7,-0.8902,0.8915,2.304,4.557,6.652,3.142,40,
T1->T2,IXI019-Guys-0702,97,fusion_w0.5,w1=0.5,-0.8961,0.8952,2.335,4.738,6.971,3.142,40,
T1->T2,IXI019-Guys-0702,97,fusion_w0.3,w1=0.3,-0.9016,0.8962,2.35,4.702,7.282,3.142,40,
T1->T2,IXI019-Guys-0702,97,fusion_w0.0,w1=0.0,-0.9075,0.8892,2.257,4.381,6.842,3.142,40,
T1->T2,IXI019-Guys-0702,97,rcrf_n1,rcrf(单次推理),-0.8729,0.8704,1.949,3.435,5.536,1.324,20,22.62
T1->T2,IXI019-Guys-0702,97,rcrf_n4,rcrf(4次平均),-0.8795,0.8808,2.032,3.94,6.157,3.142,40,
T1->T2,IXI019-Guys-0702,97,unc_n4,unc(集成标准差),-0.9075,0.8892,2.257,4.381,6.842,3.142,40,
T1->T2,IXI019-Guys-0702,97,random,uniform-random,-0.0003,0.489,0.011,-0.109,-0.033,0.0,0,
T1->T2,IXI019-Guys-0702,97,full_skip2,rcrf+unc(w.6/.4),-0.8924,0.8918,2.069,4.595,6.926,2.015,24,22.93
T1->T2,IXI019-Guys-0702,109,full_n4,rcrf+unc(w.6/.4),-0.8894,0.8832,2.148,4.067,6.564,3.55,40,21.39
T1->T2,IXI019-Guys-0702,109,fusion_w1.0,w1=1.0,-0.8745,0.8691,1.999,3.642,5.099,3.55,40,
T1->T2,IXI019-Guys-0702,109,fusion_w0.7,w1=0.7,-0.8864,0.8814,2.111,4.006,6.2,3.55,40,
T1->T2,IXI019-Guys-0702,109,fusion_w0.5,w1=0.5,-0.8921,0.8841,2.14,4.075,6.919,3.55,40,
T1->T2,IXI019-Guys-0702,109,fusion_w0.3,w1=0.3,-0.897,0.8834,2.2,4.147,7.091,3.55,40,
T1->T2,IXI019-Guys-0702,109,fusion_w0.0,w1=0.0,-0.9025,0.875,1.861,3.973,6.596,3.55,40,
T1->T2,IXI019-Guys-0702,109,rcrf_n1,rcrf(单次推理),-0.8678,0.8659,2.102,3.877,5.543,1.791,20,21.15
T1->T2,IXI019-Guys-0702,109,rcrf_n4,rcrf(4次平均),-0.8745,0.8691,1.999,3.642,5.099,3.55,40,
T1->T2,IXI019-Guys-0702,109,unc_n4,unc(集成标准差),-0.9025,0.875,1.861,3.973,6.596,3.55,40,
T1->T2,IXI019-Guys-0702,109,random,uniform-random,0.0068,0.5026,0.115,0.086,0.193,0.0,0,
T1->T2,IXI019-Guys-0702,109,full_skip2,rcrf+unc(w.6/.4),-0.8889,0.8843,2.357,4.482,6.816,2.19,24,21.1
T1->T2,IXI020-Guys-0700,22,full_n4,rcrf+unc(w.6/.4),-0.9175,0.9476,3.799,8.428,17.91,3.286,40,21.42
T1->T2,IXI020-Guys-0700,22,fusion_w1.0,w1=1.0,-0.8936,0.937,3.141,6.719,15.58,3.286,40,
T1->T2,IXI020-Guys-0700,22,fusion_w0.7,w1=0.7,-0.9121,0.9462,3.722,7.854,17.315,3.286,40,
T1->T2,IXI020-Guys-0700,22,fusion_w0.5,w1=0.5,-0.9227,0.9479,3.888,8.837,19.004,3.286,40,
T1->T2,IXI020-Guys-0700,22,fusion_w0.3,w1=0.3,-0.9326,0.945,3.918,8.923,19.303,3.286,40,
T1->T2,IXI020-Guys-0700,22,fusion_w0.0,w1=0.0,-0.9408,0.9259,2.937,6.772,15.693,3.286,40,
T1->T2,IXI020-Guys-0700,22,rcrf_n1,rcrf(单次推理),-0.887,0.9356,3.046,6.466,13.389,1.806,20,21.16
T1->T2,IXI020-Guys-0700,22,rcrf_n4,rcrf(4次平均),-0.8936,0.937,3.141,6.719,15.58,3.286,40,
T1->T2,IXI020-Guys-0700,22,unc_n4,unc(集成标准差),-0.9408,0.9259,2.937,6.772,15.693,3.286,40,
T1->T2,IXI020-Guys-0700,22,random,uniform-random,0.0045,0.5056,-0.036,-0.01,-0.058,0.0,0,
T1->T2,IXI020-Guys-0700,22,full_skip2,rcrf+unc(w.6/.4),-0.9068,0.9506,4.1,8.434,17.277,2.193,24,20.93
T1->T2,IXI020-Guys-0700,34,full_n4,rcrf+unc(w.6/.4),-0.9114,0.9097,2.826,5.582,9.297,3.675,40,21.25
T1->T2,IXI020-Guys-0700,34,fusion_w1.0,w1=1.0,-0.894,0.8903,2.304,4.495,7.728,3.675,40,
T1->T2,IXI020-Guys-0700,34,fusion_w0.7,w1=0.7,-0.9072,0.9058,2.758,5.411,9.158,3.675,40,
T1->T2,IXI020-Guys-0700,34,fusion_w0.5,w1=0.5,-0.9157,0.913,2.931,5.924,9.493,3.675,40,
T1->T2,IXI020-Guys-0700,34,fusion_w0.3,w1=0.3,-0.9248,0.9177,3.026,6.033,10.196,3.675,40,
T1->T2,IXI020-Guys-0700,34,fusion_w0.0,w1=0.0,-0.9379,0.9185,3.038,6.293,10.601,3.675,40,
T1->T2,IXI020-Guys-0700,34,rcrf_n1,rcrf(单次推理),-0.8863,0.8871,2.089,4.344,7.737,1.571,20,21.06
T1->T2,IXI020-Guys-0700,34,rcrf_n4,rcrf(4次平均),-0.894,0.8903,2.304,4.495,7.728,3.675,40,
T1->T2,IXI020-Guys-0700,34,unc_n4,unc(集成标准差),-0.9379,0.9185,3.038,6.293,10.601,3.675,40,
T1->T2,IXI020-Guys-0700,34,random,uniform-random,-0.0091,0.5038,-0.031,-0.003,0.035,0.0,0,
T1->T2,IXI020-Guys-0700,34,full_skip2,rcrf+unc(w.6/.4),-0.9021,0.9064,3.009,5.494,9.095,1.745,24,20.98
T1->T2,IXI020-Guys-0700,46,full_n4,rcrf+unc(w.6/.4),-0.9074,0.9111,2.818,5.528,8.587,3.077,40,20.85
T1->T2,IXI020-Guys-0700,46,fusion_w1.0,w1=1.0,-0.8898,0.8942,2.467,4.784,7.346,3.077,40,
T1->T2,IXI020-Guys-0700,46,fusion_w0.7,w1=0.7,-0.9032,0.9079,2.771,5.435,8.157,3.077,40,
T1->T2,IXI020-Guys-0700,46,fusion_w0.5,w1=0.5,-0.9116,0.9137,2.895,5.679,8.807,3.077,40,
T1->T2,IXI020-Guys-0700,46,fusion_w0.3,w1=0.3,-0.9202,0.917,3.073,5.759,9.081,3.077,40,
T1->T2,IXI020-Guys-0700,46,fusion_w0.0,w1=0.0,-0.9311,0.9148,2.944,5.303,9.477,3.077,40,
T1->T2,IXI020-Guys-0700,46,rcrf_n1,rcrf(单次推理),-0.8805,0.8875,2.426,4.504,7.033,1.479,20,20.58
T1->T2,IXI020-Guys-0700,46,rcrf_n4,rcrf(4次平均),-0.8898,0.8942,2.467,4.784,7.346,3.077,40,
